ETL_Mobility,ETL_Doping,HTL_Mobility,HTL_Doping,PCE,VOC,JSC,FF
4.00E-03,1.00E+16,8.62E-03,1.00E+17,15.65976,1.02401,22.66532,67.47129
4.00E-03,1.00E+16,8.62E-03,1.00E+18,16.80691,1.04855,22.66294,70.7265
4.00E-03,1.00E+16,8.62E-03,1.00E+19,18.05062,1.09408,22.66239,72.80107
4.00E-03,1.00E+16,1.86E-02,1.00E+15,14.04423,1.01724,22.74229,60.7075
4.00E-03,1.00E+16,1.86E-02,1.00E+16,14.88673,1.01819,22.68246,64.45862
4.00E-03,1.00E+16,1.86E-02,1.00E+17,15.6852,1.02401,22.66526,67.58111
4.00E-03,1.00E+16,1.86E-02,1.00E+18,16.81011,1.04855,22.66293,70.74001
4.00E-03,1.00E+16,1.86E-02,1.00E+19,18.05085,1.09408,22.66239,72.80198
4.00E-03,1.00E+16,4.00E-02,1.00E+15,14.48655,1.01727,22.74565,62.60797
4.00E-03,1.00E+16,4.00E-02,1.00E+16,14.98961,1.01819,22.68241,64.90423
4.00E-03,1.00E+16,4.00E-02,1.00E+17,15.69883,1.02401,22.66523,67.63995
4.00E-03,1.00E+16,4.00E-02,1.00E+18,16.8116,1.04855,22.66293,70.74628
4.00E-03,1.00E+16,4.00E-02,1.00E+19,18.05095,1.09408,22.66239,72.8024
4.00E-03,1.00E+16,8.62E-02,1.00E+15,14.71071,1.01729,22.74737,63.57088
4.00E-03,1.00E+16,8.62E-02,1.00E+16,15.03998,1.01819,22.68239,65.12231
4.00E-03,1.00E+16,8.62E-02,1.00E+17,15.70533,1.02401,22.66521,67.66798
4.00E-03,1.00E+16,8.62E-02,1.00E+18,16.81229,1.04855,22.66292,70.74918
4.00E-03,1.00E+16,8.62E-02,1.00E+19,18.051,1.09408,22.66239,72.8026
4.00E-03,1.00E+16,1.86E-01,1.00E+15,14.81962,1.0173,22.74828,64.03849
4.00E-03,1.00E+16,1.86E-01,1.00E+16,15.06308,1.01819,22.68239,65.22237
4.00E-03,1.00E+16,1.86E-01,1.00E+17,15.70834,1.02401,22.66521,67.68096
4.00E-03,1.00E+16,1.86E-01,1.00E+18,16.81261,1.04855,22.66292,70.75053
4.00E-03,1.00E+16,1.86E-01,1.00E+19,18.05102,1.09408,22.66239,72.80269
4.00E-03,1.00E+16,4.00E-01,1.00E+15,14.87946,1.0173,22.74882,64.29532
4.00E-03,1.00E+16,4.00E-01,1.00E+16,15.07379,1.01819,22.68239,65.26871
4.00E-03,1.00E+16,4.00E-01,1.00E+17,15.70973,1.02401,22.6652,67.68698
4.00E-03,1.00E+16,4.00E-01,1.00E+18,16.81275,1.04855,22.66292,70.75115
4.00E-03,1.00E+16,4.00E-01,1.00E+19,18.05103,1.09408,22.66239,72.80274
4.00E-03,1.00E+16,8.62E-01,1.00E+15,14.90709,1.0173,22.74919,64.41356
4.00E-03,1.00E+16,8.62E-01,1.00E+16,15.07874,1.01819,22.68239,65.29015
4.00E-03,1.00E+16,8.62E-01,1.00E+17,15.71038,1.02401,22.6652,67.68977
4.00E-03,1.00E+16,8.62E-01,1.00E+18,16.81282,1.04855,22.66292,70.75144
4.00E-03,1.00E+16,8.62E-01,1.00E+19,18.05104,1.09408,22.66239,72.80276
4.00E-03,1.00E+16,1.86E+00,1.00E+15,14.9201,1.0173,22.74944,64.46902
4.00E-03,1.00E+16,1.86E+00,1.00E+16,15.08103,1.01819,22.68238,65.30009
4.00E-03,1.00E+16,1.86E+00,1.00E+17,15.71068,1.02401,22.6652,67.69107
4.00E-03,1.00E+16,1.86E+00,1.00E+18,16.81286,1.04855,22.66292,70.75158
4.00E-03,1.00E+16,1.86E+00,1.00E+19,18.05104,1.09408,22.66239,72.80276
4.00E-03,1.00E+16,4.00E+00,1.00E+15,14.92613,1.0173,22.7496,64.49461
4.00E-03,1.00E+16,4.00E+00,1.00E+16,15.0821,1.01819,22.68238,65.3047
4.00E-03,1.00E+16,4.00E+00,1.00E+17,15.71082,1.02401,22.6652,67.69167
4.00E-03,1.00E+16,4.00E+00,1.00E+18,16.81287,1.04855,22.66292,70.75164
4.00E-03,1.00E+16,4.00E+00,1.00E+19,18.05104,1.09408,22.66239,72.80277
4.00E-03,1.00E+17,4.00E-03,1.00E+15,15.23202,1.01708,22.7339,65.87609
4.00E-03,1.00E+17,4.00E-03,1.00E+16,17.67918,1.01828,22.68927,76.52017
4.00E-03,1.00E+17,4.00E-03,1.00E+17,19.2143,1.0241,22.66616,82.77611
